id,numberofopencreditlinesandloans,numberoftimes90dayslate,numberrealestateloansorlines,numberoftime60_89dayspastduenotworse,numberofdependents,y
6845,5,0,0,0,3,0
87801,20,0,1,0,1,1
41005,2,2,0,0,3,1
82748,2,7,0,1,0,1
39181,6,0,1,2,0,1
14117,2,2,0,0,2,1
31033,4,0,0,0,0,0
35434,2,1,0,0,0,1
28770,6,0,0,0,0,0
38701,8,0,0,0,0,0
9189,6,1,1,1,3,1
93870,3,0,0,1,5,1
85984,8,2,0,6,3,1
67014,11,0,1,0,0,0
59736,7,0,0,0,0,0
65232,3,0,1,0,0,0
9424,0,1,0,0,5,1
55428,5,0,0,0,0,0
89574,5,0,0,0,1,0
44688,19,0,1,0,2,0
14236,2,0,0,0,0,1
36543,7,0,0,0,1,1
59306,12,0,1,0,0,1
17226,6,0,1,0,0,0
6936,6,1,0,0,1,1
7602,10,0,2,0,1,0
70878,10,0,1,0,0,0
79126,9,0,0,0,1,1
95664,8,0,2,0,3,0
82064,8,0,1,0,2,1
48214,12,0,3,0,0,1
96597,14,0,1,0,3,0
40038,13,0,2,0,0,0
60301,5,0,0,0,0,1
66722,0,3,0,0,0,1
59130,4,0,1,0,1,0
46682,3,1,1,1,0,1
60519,9,0,2,0,3,0
30703,3,0,0,0,2,1
84155,3,0,0,0,0,0
37944,14,0,0,0,3,0
21274,3,1,1,0,0,1
78997,23,0,1,0,2,0
31175,21,0,1,0,3,0
86148,10,0,2,0,0,0
32029,15,0,2,0,0,0
94700,10,0,1,0,3,0
14670,14,0,2,0,0,0
95282,5,0,2,0,1,0
84211,19,0,6,0,0,1
74908,7,0,1,0,5,1
81397,15,0,0,1,0,0
23491,5,0,0,1,1,1
20570,21,1,1,0,0,1
97057,14,0,2,0,4,0
32370,8,0,1,0,1,0
81992,4,0,0,0,0,0
9690,6,0,1,0,0,0
21703,16,0,2,0,0,0
15018,10,1,0,0,0,1
55303,10,2,0,0,4,1
48774,2,1,0,0,0,0
70178,6,0,3,0,0,0
35333,21,0,2,0,2,0
2860,6,0,0,0,0,0
54050,7,0,2,0,0,1
70126,8,0,1,0,2,0
3599,5,0,1,0,0,0
50152,18,0,1,0,0,0
6176,7,0,0,1,1,1
90642,8,0,0,0,1,1
98986,15,0,2,0,2,0
57412,12,0,1,0,1,0
29198,5,0,1,0,0,0
85859,11,0,1,0,1,1
67318,4,0,0,0,0,0
66099,3,0,2,0,0,1
59863,2,0,0,0,0,0
58003,10,0,1,3,0,1
22177,13,0,4,0,2,1
50285,13,0,1,0,4,0
78182,23,0,3,0,1,1
30103,10,0,0,0,0,0
25171,27,0,0,0,3,0
69850,9,0,2,0,4,0
64918,20,0,0,0,0,0
16631,5,0,1,0,2,1
31418,5,0,2,0,0,0
70448,3,0,0,0,0,0
95678,5,0,3,0,1,0
95854,3,1,0,0,0,0
16838,10,0,3,0,0,0
56338,6,2,0,2,2,1
37741,4,0,0,0,0,0
30758,11,0,1,0,0,1
144,7,2,0,2,1,1
25174,1,0,0,0,0,1
2803,2,0,1,0,1,0
36167,14,1,2,0,1,1
7306,8,0,1,0,2,1
516,10,3,0,2,2,0
6316,5,0,0,0,1,1
56371,12,0,2,0,0,0
61485,19,0,0,0,0,1
55749,8,0,2,0,0,0
92845,3,4,0,1,1,1
95055,5,0,1,0,1,0
88652,21,0,2,0,0,0
9688,16,0,1,0,2,1
96033,9,0,2,0,0,0
50604,4,0,1,0,0,0
93499,15,0,1,0,2,1
64923,9,0,1,0,1,0
23613,17,0,2,0,0,0
80599,4,0,0,0,0,0
55021,17,0,0,0,1,0
35328,8,0,0,0,2,0
67586,6,0,3,0,1,1
27432,8,0,0,0,0,0
62387,22,0,1,0,0,1
34935,1,0,0,0,0,1
13798,6,0,0,0,0,1
30041,10,0,0,0,3,1
56252,1,0,0,0,0,1
10897,7,1,0,0,0,1
1499,14,0,1,0,0,0
28154,5,0,1,0,0,0
95875,14,0,4,0,0,0
4075,8,0,0,0,1,1
69238,9,1,2,0,1,1
18250,13,0,0,0,1,0
35488,2,0,0,0,2,0
19339,9,0,2,0,4,1
55513,9,0,2,0,0,0
15708,4,1,0,0,3,1
22957,2,0,0,0,0,1
87471,7,0,0,0,0,1
48005,4,7,0,0,1,1
69986,0,1,0,0,0,1
91652,2,1,0,0,0,1
91733,18,0,1,0,1,0
9839,19,1,3,1,0,0
42301,16,0,2,0,2,1
42304,5,0,0,0,0,0
97829,3,2,2,2,1,1
14909,13,0,1,0,0,0
66787,5,0,1,0,0,1
95499,43,0,2,0,1,1
9133,8,0,0,0,0,0
45454,13,1,1,1,0,1
59680,14,0,2,0,1,0
64201,5,1,1,2,0,1
24126,6,0,1,0,0,0
1421,3,0,0,0,1,1
27484,24,0,1,0,0,0
55920,3,2,1,0,1,1
97306,17,0,1,0,3,0
95810,0,1,0,0,0,1
18527,8,0,2,0,2,0
17636,4,0,0,0,3,1
55087,3,1,1,2,3,1
2698,14,0,1,0,0,1
5521,2,0,0,0,0,0
20174,8,0,2,0,1,0
88310,5,1,0,0,1,1
65825,4,0,0,0,2,0
89562,6,2,1,0,0,1
35068,2,1,0,0,2,1
38958,4,0,2,0,0,0
72796,12,0,1,0,5,1
10063,5,0,0,0,0,0
1000,5,0,0,0,0,1
62368,6,0,0,0,0,0
76061,7,17,0,0,0,1
85450,6,0,0,0,0,1
50329,11,0,1,0,2,1
87883,20,0,2,0,1,1
62834,0,0,0,0,0,1
59575,4,0,1,1,0,0
52571,5,0,0,0,0,0
71544,11,0,1,0,1,1
28202,10,0,1,0,0,0
31360,9,0,1,0,1,0
14003,17,0,0,0,0,1
62077,3,0,0,0,3,0
83984,3,0,0,0,0,0
36070,4,0,0,0,0,0
63925,6,0,0,2,3,1
7276,4,0,0,0,2,1
38413,15,0,2,0,0,0
62561,7,0,3,0,2,0
52351,9,0,0,0,0,1
15466,9,0,0,0,2,1
65362,16,0,1,0,3,1
88582,6,0,1,0,0,0
46604,4,0,1,0,0,0
71001,12,0,0,0,0,1
35440,3,0,1,0,0,0
22715,5,0,0,0,1,1
11209,2,3,1,1,2,1
89578,4,0,0,0,1,0
41138,10,0,0,0,1,1
30760,0,0,0,0,2,1
67415,10,0,0,0,0,0
25672,6,1,0,0,0,0
1374,4,0,0,0,1,1
42680,9,0,1,0,0,0
74249,9,0,2,0,1,0
10294,1,0,0,0,0,0
19035,11,2,2,0,1,1
13896,45,0,1,0,1,0
42508,4,1,0,1,4,1
33827,21,0,2,0,1,0
23195,15,3,0,0,2,1
95999,0,0,0,0,0,1
33364,7,0,2,0,1,1
96955,7,0,1,0,4,1
98959,3,0,0,0,0,0
86435,9,2,0,0,1,1
58385,5,0,0,0,0,1
93985,10,1,3,0,0,1
9337,3,0,1,0,1,0
66986,4,0,0,1,0,1
83439,16,0,0,0,2,1
7256,4,0,0,0,0,0
12587,10,0,1,1,2,1
33047,12,2,2,0,0,1
59132,16,0,0,0,4,1
45680,3,0,0,0,0,1
52815,2,0,0,0,1,1
2785,9,0,0,0,1,1
1526,5,0,0,0,0,0
57389,0,98,0,98,1,1
30132,6,3,0,0,0,1
66684,12,1,0,0,0,0
2997,2,0,1,2,4,0
52704,6,0,2,0,3,1
18593,4,0,0,0,5,0
19781,1,3,0,1,0,1
21970,7,0,0,0,0,0
224,3,0,0,0,0,0
53627,6,0,1,0,0,0
22005,2,0,1,2,1,1
60868,11,0,0,0,0,1
44393,16,0,1,0,1,1
19372,5,2,1,1,2,1
45938,8,0,2,3,0,1
63834,2,2,1,1,0,1
92634,15,1,3,4,0,1
82800,7,0,0,0,1,0
58632,11,0,1,0,0,0
72651,22,0,2,0,1,1
28050,2,0,0,0,0,0
36088,6,0,1,0,0,1
64772,11,1,2,0,0,1
89920,10,0,2,0,0,1
86484,7,0,2,0,2,0
71779,9,0,1,0,1,1
48935,5,0,2,0,0,0
32551,14,0,1,0,3,0
8102,6,0,0,0,2,1
72059,5,0,2,0,0,1
48195,4,0,1,0,0,0
82977,9,0,0,0,1,0
39375,23,0,1,0,0,0
47998,13,0,1,0,2,0
18487,8,0,0,0,0,0
26941,17,0,3,0,7,0
23670,10,0,2,0,1,1
1852,10,0,2,0,3,0
61852,4,0,1,0,0,0
19062,3,0,0,0,3,1
1061,6,0,2,0,1,0
10945,4,0,1,0,0,0
56909,10,0,1,0,1,0
85572,14,0,1,0,2,0
79747,4,0,0,1,0,1
33901,5,0,0,0,3,1
27087,14,0,4,0,2,0
74698,16,0,3,0,1,1
53066,18,0,2,0,1,1
51801,12,0,3,0,3,0
34968,2,2,0,0,3,1
28073,6,0,3,0,1,0
9899,4,0,0,0,0,0
25160,6,0,0,0,0,0
26908,7,0,1,1,2,1
47917,0,2,0,0,0,0
87236,6,0,1,0,1,0
73284,3,0,2,0,0,0
6111,9,0,2,0,0,1
96166,16,0,1,0,2,1
36993,15,0,1,0,0,1
10828,3,0,0,0,0,0
2861,10,0,0,0,0,0
55216,17,0,2,0,2,0
2772,11,0,2,0,0,0
58088,7,0,3,0,0,1
23637,17,0,1,0,0,0
68121,12,0,3,0,0,0
50003,0,3,0,0,2,1
90286,4,0,0,0,0,1
44166,2,0,0,0,0,0
26217,1,1,1,0,3,1
63475,14,0,1,0,2,0
79992,7,0,0,0,0,0
24542,10,0,0,0,1,0
77492,7,0,1,0,3,0
22021,9,0,1,0,1,0
20833,21,0,1,0,2,0
32289,10,0,1,0,0,1
46311,0,98,0,98,0,1
51420,5,0,1,0,0,0
46277,26,0,3,0,3,1
12473,18,0,5,0,1,1
50913,13,1,1,0,0,1
6551,6,0,1,0,0,0
20967,4,0,0,0,1,0
13617,5,1,0,2,0,1
44051,1,0,0,0,0,1
81637,1,1,0,0,0,1
15560,4,0,0,0,1,0
28254,6,1,2,0,1,1
28947,12,0,2,0,0,0
9538,5,0,1,0,3,1
33760,17,0,1,0,0,1
91583,7,0,0,0,2,0
24492,10,0,1,0,1,1
18715,8,0,0,0,4,0
75725,17,1,3,0,1,1
78386,2,5,2,0,0,1
3026,16,0,1,0,3,0
75834,1,0,0,0,0,1
29077,14,0,1,0,4,1
56409,8,0,0,0,0,1
6328,14,0,2,0,0,0
79901,1,0,0,0,0,1
39006,6,0,2,0,0,0
57488,8,0,2,0,0,0
53300,9,0,1,0,0,1
83804,24,0,1,0,3,1
30400,10,0,0,0,0,0
96023,5,0,0,0,0,0
60421,4,0,0,0,0,0
43554,4,0,1,0,0,1
12362,20,0,1,0,3,0
11639,2,1,1,0,0,1
88191,9,0,1,0,0,0
75239,13,0,0,0,0,1
23934,10,0,2,1,1,0
5106,2,4,0,0,4,1
64350,9,0,2,0,0,0
79914,0,1,0,0,2,1
85258,11,0,4,0,3,1
89939,11,0,2,0,3,0
77988,3,0,0,0,0,0
35586,4,1,0,0,0,1
82217,6,6,1,0,1,1
11817,3,0,0,0,3,1
14790,8,0,1,0,0,0
24682,8,0,2,0,2,0
26343,15,0,0,0,0,0
94179,14,0,2,0,1,1
37190,9,0,1,0,0,0
34718,5,1,0,1,2,1
95072,9,1,1,2,1,1
84961,11,0,2,0,2,0
19973,9,0,1,0,1,1
88800,12,0,0,0,0,0
58488,17,0,1,0,0,0
17374,6,0,2,0,0,1
11923,10,0,1,0,3,0
51805,4,0,0,0,0,0
29213,10,0,1,0,0,0
79026,7,0,1,0,1,0
34800,9,0,1,0,2,0
17286,0,2,0,0,0,0
22805,2,0,0,0,3,1
55661,5,4,0,0,0,1
91400,6,0,0,0,0,0
5236,0,1,0,0,4,1
77910,5,0,2,0,3,1
30957,9,0,2,0,0,0
54542,34,0,4,0,3,0
4155,5,0,0,0,0,0
13743,5,0,0,0,0,0
53842,4,0,1,0,3,1
47203,7,1,1,1,1,1
95467,1,0,0,0,0,0
83607,1,0,0,0,3,0
86798,4,1,1,0,1,1
89179,10,0,1,0,0,0
23224,10,0,0,3,0,1
52413,19,0,3,0,3,1
88343,0,4,0,0,3,1
67270,8,1,1,1,0,1
34570,10,0,5,0,2,0
22566,3,1,0,0,2,1
29382,5,0,0,0,1,1
45086,4,0,0,0,0,1
21734,15,0,2,0,0,1
82780,10,0,2,0,0,0
4199,8,0,0,0,0,0
35245,6,0,0,0,0,0
24001,6,0,0,0,0,0
85825,18,0,5,0,0,0
1304,9,0,1,0,1,0
74112,9,0,2,0,2,1
21758,11,0,1,0,0,1
63368,11,0,0,2,3,1
23366,15,0,1,0,1,1
20361,4,0,1,0,0,0
25994,11,0,3,0,2,0
46467,6,0,0,0,0,0
70667,10,0,1,0,0,0
21030,2,0,1,0,0,0
90569,6,0,3,0,0,0
79046,5,0,0,0,4,1
51839,9,0,2,0,3,1
68250,5,0,0,0,0,0
16813,7,0,2,0,2,0
33937,5,0,0,0,0,0
76858,18,0,3,0,3,1
36814,8,0,0,0,1,1
2866,10,2,1,1,0,1
24212,12,1,0,0,0,1
73147,5,0,1,1,1,1
37585,4,0,1,0,0,0
58366,10,0,1,1,2,1
38786,3,3,1,3,1,1
9332,23,0,3,0,0,1
28566,6,0,0,0,2,1
37556,0,0,0,0,0,0
81559,12,0,3,0,1,1
28889,10,0,0,0,0,1
23606,2,2,0,0,0,1
11174,9,0,1,0,0,0
18629,16,1,1,1,3,1
16894,7,0,2,0,1,0
57538,6,0,0,0,1,0
58783,4,0,0,0,0,0
68804,10,0,1,0,0,1
30824,10,0,0,0,0,0
3470,13,0,1,0,4,0
69066,5,1,0,0,0,1
96237,6,0,1,0,0,1
58680,1,0,0,0,0,0
29490,9,0,1,1,2,1
880,2,0,1,1,0,1
45632,8,0,1,0,3,0
25471,9,0,1,0,0,0
52324,3,1,0,0,0,1
67347,9,0,0,0,0,1
30204,13,0,1,0,2,1
31993,10,0,2,0,3,0
99171,3,0,1,1,2,1
25700,19,0,2,0,0,0
2981,6,2,0,1,0,1
72948,22,0,7,0,6,1
65505,7,2,2,1,0,1
22615,15,0,0,0,0,1
80308,7,0,2,0,2,0
89518,1,0,0,0,3,1
20572,13,0,1,0,0,0
8571,3,3,0,1,2,1
41127,6,0,0,0,0,0
46928,3,0,1,0,0,0
79913,3,0,0,1,2,1
14068,11,0,1,0,1,1
96500,4,1,0,0,2,1
65329,6,3,1,0,3,1
33117,16,0,2,0,0,0
64988,6,0,1,0,0,1
79764,10,0,2,0,3,0
50953,14,0,0,0,2,0
14428,14,3,3,0,0,1
53245,9,0,1,0,0,1
24964,8,0,2,0,3,1
83724,9,0,1,0,0,0
16561,5,0,0,0,1,0
12262,21,0,3,0,2,0
52600,6,0,0,0,0,1
72495,13,0,2,1,0,0
22643,3,0,1,3,1,1
41135,6,0,0,0,0,0
91377,7,0,1,0,3,0
47744,5,0,1,0,0,1
80441,6,0,0,0,0,1
58155,11,0,1,0,1,1
36603,5,4,1,2,2,1
44389,6,0,0,1,1,1
95902,5,0,1,0,0,0
98477,7,2,0,1,0,1
88497,2,0,0,0,3,1
59685,7,0,2,0,0,0
67325,11,0,0,0,0,0
43482,11,0,3,1,2,1
94547,8,0,1,0,0,0
32351,14,1,4,0,2,1
48026,7,0,2,0,1,0
24654,18,0,3,1,0,1
84016,0,0,0,0,2,1
10713,7,0,1,0,2,0
6807,5,0,0,0,4,0
50640,10,0,0,0,0,0
65134,5,0,1,0,0,0
20025,8,0,1,0,0,1
23002,29,0,1,0,0,1
10176,5,0,2,2,0,1
67957,14,0,3,0,1,1
49448,4,0,2,1,1,1
71027,1,1,0,0,2,1
38559,8,0,0,0,1,0
42694,6,0,1,0,1,0
59085,1,0,0,0,0,1
18350,4,0,1,0,4,0
41120,4,0,0,0,1,1
16480,8,0,0,0,1,0
93822,10,0,2,0,0,1
35683,6,0,1,0,3,0
26585,17,0,1,0,1,1
4978,4,2,0,0,0,0
18655,5,0,0,0,2,0
8099,15,0,1,0,1,0
52581,9,0,4,1,1,1
13759,12,0,1,0,2,1
16689,5,0,1,0,3,1
86721,7,0,1,0,1,0
91396,23,1,8,1,1,1
93496,6,0,2,0,1,0
35099,4,0,2,0,1,1
39254,14,0,2,0,3,1
94031,4,0,0,0,1,0
15431,9,0,2,0,0,0
41960,1,0,0,0,0,1
1718,4,0,0,0,1,1
84621,11,0,3,0,1,1
1097,21,0,6,0,3,1
87015,17,0,2,0,1,0
43918,10,0,2,0,1,0
86810,5,2,0,1,0,1
66817,7,0,1,0,0,0
43463,12,0,1,0,2,1
28501,9,0,2,1,0,1
28088,9,0,0,0,3,1
79695,3,0,1,0,1,0
75121,15,0,2,0,0,0
13681,18,0,2,0,1,1
45476,18,0,8,0,0,1
63952,4,0,1,0,0,0
94922,10,0,2,0,1,0
20782,10,0,1,0,3,0
71742,10,0,0,0,1,1
71868,2,2,0,0,2,1
56320,11,0,2,0,0,1
36192,16,1,2,2,2,1
3618,4,2,2,0,2,1
73226,9,1,3,1,3,1
64556,7,0,0,0,0,0
88694,4,1,0,1,1,1
62187,4,0,0,0,0,1
73806,7,0,1,0,1,0
26436,9,0,0,0,2,1
39245,11,0,2,0,2,1
48293,4,0,1,0,0,0
88380,13,0,1,0,1,0
79254,5,0,0,0,0,0
41417,9,2,2,0,1,1
13922,6,1,1,0,3,1
57107,0,2,0,0,0,1
7592,6,0,1,0,3,0
8358,4,0,0,0,0,0
60990,2,0,0,0,0,0
11695,3,1,1,1,0,1
20684,10,0,0,0,1,0
58324,15,0,2,0,2,0
11582,6,0,1,0,0,0
64509,6,0,0,0,0,1
82948,14,0,2,0,2,1
93333,7,2,0,0,0,1
57134,14,0,0,0,1,0
89252,1,0,0,0,2,1
97873,13,0,1,0,1,0
18739,7,0,2,0,0,1
51572,10,1,1,0,0,1
29008,11,1,0,0,0,0
12992,10,0,1,0,0,1
26841,1,0,0,1,0,1
65183,1,0,0,0,0,0
7210,4,0,1,0,3,0
79595,14,0,1,0,0,0
72792,6,0,0,0,3,1
33382,1,0,0,0,1,0
87458,3,0,0,0,2,0
98091,9,0,2,0,0,1
73297,7,2,0,0,2,1
56666,15,0,1,0,0,1
64226,5,3,1,0,0,1
55939,13,0,4,0,0,0
83831,7,0,0,0,0,0
67655,3,0,1,0,0,1
76323,14,0,1,0,2,1
70420,10,0,2,0,1,0
14700,17,0,1,0,0,1
1402,5,1,1,0,1,1
39613,9,0,1,0,1,0
51493,5,6,1,2,3,1
15850,5,0,2,0,0,1
96546,19,0,1,0,1,1
7755,6,0,1,0,0,1
90770,8,0,0,0,0,0
58078,14,0,0,0,0,0
30847,11,0,1,0,0,0
10252,3,1,0,0,1,1
36204,7,1,0,0,1,0
29752,6,0,0,1,2,1
13752,0,1,0,0,0,1
36430,2,1,1,0,2,1
88723,11,0,1,0,0,0
57061,4,3,0,3,3,1
11612,3,0,0,0,2,1
24077,8,0,1,0,0,0
32237,4,1,0,1,0,1
79367,10,0,1,0,0,0
2247,12,1,2,1,1,1
33736,6,1,1,0,0,0
29976,11,0,1,0,1,0
25872,1,2,0,0,4,1
53763,8,0,0,0,0,0
58054,19,0,1,0,4,0
14762,5,0,1,0,2,1
9711,27,0,0,0,1,1
82755,4,0,1,0,0,0
91684,7,0,0,0,0,1
81070,6,1,2,3,3,1
32440,17,0,2,0,0,1
71386,4,0,1,1,2,1
9356,8,0,2,0,0,1
88032,2,1,0,0,2,1
73272,2,0,0,0,5,0
72605,6,0,0,0,0,0
6453,11,0,2,0,2,1
77039,5,0,1,0,0,0
6280,5,1,1,2,2,1
92117,7,0,1,0,3,0
43156,4,1,1,2,1,1
59304,0,1,0,1,1,1
38418,22,0,0,0,0,0
35825,20,0,2,0,1,1
96242,7,0,2,0,7,0
66900,7,0,1,0,1,0
97086,5,1,1,0,1,1
19471,4,1,2,3,0,1
6761,15,0,1,0,2,1
55121,11,0,3,0,1,0
36826,0,3,0,0,0,1
45241,8,0,0,0,0,0
18871,5,0,1,0,0,0
41585,14,0,1,0,3,0
56783,6,0,1,0,5,1
42102,10,0,1,0,1,1
53468,1,2,0,1,0,1
82036,12,0,1,0,2,1
7588,6,0,1,0,0,0
25616,7,0,0,0,0,0
71117,2,0,0,0,0,0
83272,8,0,2,0,3,0
89710,6,0,0,1,0,1
61613,12,0,1,0,4,0
8669,5,0,0,0,1,1
59706,10,0,2,0,0,0
57347,13,0,3,0,2,0
25432,6,0,1,0,4,1
78100,7,0,1,0,1,1
87717,3,5,0,2,3,1
56248,6,0,1,0,1,0
18802,14,0,5,0,1,1
58812,10,0,2,0,1,1
63735,11,0,0,0,2,0
20578,8,0,0,0,2,0
41690,7,0,1,0,2,0
3806,6,0,0,0,0,1
13364,8,1,2,1,0,1
39014,17,0,3,0,0,0
90748,3,2,1,1,3,1
65542,6,0,1,0,2,0
95017,1,0,0,0,0,1
19643,9,1,1,0,2,0
26655,6,0,0,0,0,1
30524,1,0,0,0,0,1
78302,8,4,0,0,1,1
65017,2,0,0,0,2,1
84878,5,0,4,0,2,0
5094,8,0,0,0,1,1
41532,2,0,0,0,0,0
74539,15,1,4,1,0,1
80006,7,0,0,0,1,0
97506,1,0,0,0,0,1
30883,6,0,1,0,3,0
13266,6,0,1,0,2,0
78961,12,0,2,0,2,1
31466,15,0,0,0,0,1
44820,8,0,3,0,0,0
76328,17,0,1,0,0,0
52417,17,1,1,0,0,1
2574,11,0,1,0,0,1
32269,7,0,2,0,0,1
66255,12,0,1,0,1,0
98739,4,0,0,0,0,0
99579,1,0,0,0,0,1
64774,4,0,1,0,2,1
62231,2,0,1,0,4,1
5938,5,0,1,0,0,0
30565,21,0,0,3,0,1
68900,3,1,2,0,0,1
29412,3,0,1,0,0,0
90540,6,0,1,0,0,0
39282,6,0,1,0,1,0
34412,3,1,0,0,2,1
79739,17,0,3,1,1,1
755,14,0,1,0,2,0
90734,7,4,2,2,2,1
74380,15,0,2,0,0,0
28271,9,1,2,0,1,1
98197,12,0,1,0,1,1
43585,8,2,0,0,2,1
18178,20,0,1,0,2,1
17169,8,0,2,0,2,1
58102,15,0,1,1,1,0
52754,12,0,1,0,1,1
86907,12,0,0,0,2,1
49915,0,1,0,0,2,1
17846,7,0,1,0,1,0
99465,9,0,2,0,0,0
6044,27,0,2,0,3,0
5018,8,0,1,0,1,1
35411,13,0,0,0,1,0
82595,7,0,2,0,3,0
43692,11,0,2,0,3,1
34069,8,0,2,0,3,1
91961,0,98,0,98,0,1
77621,8,0,2,0,4,0
1900,10,0,1,0,0,0
27337,9,0,0,0,1,0
49842,11,0,2,0,3,0
31583,14,0,1,0,1,1
2541,10,1,0,3,3,1
34883,3,0,0,0,0,1
71404,7,1,0,0,0,1
31339,5,0,0,0,0,1
35617,3,0,1,0,2,0
39689,12,0,1,1,3,1
92805,2,0,1,0,0,0
35810,2,0,0,0,0,0
97318,10,0,0,0,1,1
93522,8,0,0,0,0,1
28325,6,0,1,0,2,1
1899,9,0,0,0,0,1
75678,10,0,1,0,0,1
82085,0,1,0,0,1,1
20139,12,0,2,0,0,0
39972,8,0,2,0,1,1
36043,7,0,3,0,0,0
11464,9,0,3,0,2,1
85246,21,0,2,0,0,0
41968,5,0,0,0,0,0
17132,2,3,0,1,1,1
18799,4,0,0,1,0,1
88965,3,0,0,0,0,0
25479,2,0,0,1,0,0
7990,16,0,0,0,0,0
49334,1,0,0,0,0,0
73324,2,1,0,0,0,1
65449,8,0,2,0,1,0
48294,11,0,2,0,0,0
10519,18,0,1,0,0,0
76790,19,0,1,0,2,0
21672,5,0,1,0,0,0
50442,10,0,2,0,0,0
85158,12,0,2,0,2,0
32837,6,2,0,0,3,1
4695,14,0,1,1,0,1
3270,11,0,3,0,2,0
46284,20,0,3,0,2,0
48106,10,0,1,0,1,1
40293,9,0,1,0,2,1
82985,7,0,1,1,0,1
70950,1,2,0,1,0,1
98971,18,0,2,3,1,1
27501,9,0,2,0,4,0
8880,5,0,2,1,0,0
17117,10,0,0,0,0,0
78905,11,0,1,0,3,1
77923,11,0,1,0,0,0
70924,9,0,1,0,0,0
52563,6,0,1,0,0,0
85028,3,0,0,0,1,0
71,13,0,2,0,2,1
76177,2,0,0,0,0,0
53994,8,0,2,0,0,0
23213,14,0,2,0,0,1
29326,13,0,0,0,0,0
49303,16,0,2,0,0,0
62105,4,0,0,0,1,1
67901,1,3,1,2,0,1
43854,6,1,0,0,0,1
74552,3,0,0,1,0,1
34288,5,0,1,0,0,1
63847,2,1,0,1,0,1
73824,1,1,0,0,2,1
39299,1,4,0,1,0,1
15522,9,0,1,0,2,0
66286,8,0,0,0,0,0
84481,21,3,2,0,0,1
76990,4,0,0,0,0,0
9086,10,0,1,0,1,0
30828,7,0,1,0,3,0
97315,9,0,0,0,1,1
99927,12,0,0,0,0,1
40790,14,0,7,0,0,0
15535,8,0,2,0,3,0
93678,4,2,2,1,2,1
65690,0,0,0,1,0,1
38028,16,0,2,0,1,1
35085,4,2,0,0,0,1
69890,3,3,0,1,2,1
65245,13,0,2,0,0,1
49241,16,0,0,0,0,0
20847,6,0,0,0,0,0
11718,4,0,0,0,0,0
45267,6,0,0,0,1,1
69064,11,0,0,0,0,1
6143,7,0,1,0,0,1
54177,11,0,0,0,2,1
23384,9,0,2,0,1,0
76144,19,0,3,0,0,1
60382,4,0,0,1,3,1
3198,15,0,3,2,0,1
39273,13,0,1,0,0,0
44392,4,0,0,0,0,0
18264,0,2,0,0,1,1
37114,10,3,2,1,0,1
67009,3,0,0,1,0,0
82890,12,0,4,0,0,1
87251,10,0,0,0,0,1
14610,15,2,1,0,1,1
58200,8,0,0,0,0,0
97348,8,0,1,0,0,1
32306,10,0,3,1,1,1
